ID,class
205648424,unknown
246059485,unknown
209250952,unknown
224242088,unknown
70438228,unknown
106403370,2
73269611,2
190086110,2
35874329,unknown
355537469,unknown
279037744,unknown
43065114,unknown
19047967,unknown
73165221,unknown
98652756,2
191135179,unknown
163849750,unknown
163807994,unknown
91827950,unknown
8950367,unknown
298739462,unknown
120697106,unknown
15960061,unknown
156316626,unknown
94017374,unknown
84758966,unknown
363781833,unknown
199944364,unknown
105404401,unknown
202674571,2
42444411,unknown
240344121,2
175094352,unknown
312182209,unknown
86816167,2
230097992,unknown
121540162,unknown
331565124,unknown
95549828,unknown
378506126,1
230424242,unknown
218155748,unknown
390352256,unknown
66411922,2
225690003,unknown
94454796,unknown
121655430,unknown
164759620,unknown
268785497,unknown
55093080,2
288091359,unknown
106857682,unknown
98662304,unknown
115193788,2
355160125,unknown
209069094,unknown
155810907,unknown
106504787,unknown
89013075,unknown
12660552,2
201004046,2
310466221,unknown
382980847,2
191394877,2
78597559,unknown
190413289,unknown
34988523,unknown
91552310,unknown
38342653,unknown
166073776,2
41274750,2
355198470,unknown
218102884,unknown
7200439,unknown
161417449,unknown
299032441,2
106757964,unknown
155831791,unknown
87026568,unknown
73265040,unknown
83251669,2
75604009,unknown
37750345,unknown
122429472,2
299175206,unknown
339094200,1
43153483,unknown
294308419,unknown
268859273,unknown
312873673,unknown
355172025,unknown
152621676,unknown
96344666,unknown
37300728,unknown
73390503,2
310492288,unknown
30700346,2
83603215,unknown
245719211,unknown
219568138,unknown
156217076,unknown
106365287,unknown
106757158,unknown
4463534,unknown
98794322,unknown
339118788,unknown
11734231,unknown
31471408,2
209692307,unknown
244660439,unknown
344263172,unknown
43470129,unknown
235077694,2
43418607,unknown
245411345,unknown
94314219,unknown
146364480,unknown
137840856,unknown
327628977,unknown
230643077,2
72316950,unknown
94510898,unknown
272764378,unknown
245477136,2
191632582,1
200674769,unknown
200711460,unknown
224765942,unknown
73340989,2
200552381,unknown
14770429,unknown
96399379,unknown
84341198,unknown
346383648,2
68595142,unknown
72033098,unknown
91416769,unknown
99285375,unknown
331554207,2
1435398,unknown
179113055,unknown
91960797,2
331513881,unknown
60210016,unknown
52174596,unknown
234595736,unknown
339058307,unknown
198735758,unknown
11985000,unknown
194336133,unknown
378592967,1
272678704,unknown
298984800,2
390343573,unknown
233254606,unknown
225001200,unknown
245832049,2
155708631,unknown
207004444,unknown
175055700,unknown
156028026,unknown
299155120,unknown
54820411,unknown
312896823,unknown
372673726,unknown
225296034,2
86590546,2
231136221,unknown
4861039,unknown
12801206,unknown
105845376,unknown
344903,2
71988968,1
70891176,2
12790714,unknown
363523784,unknown
294394865,unknown
299198888,unknown
105434093,unknown
86734538,unknown
158361728,unknown
272522017,2
84350343,unknown
248481187,1
390526608,2
18037121,2
36682153,unknown
71799808,unknown
55733869,unknown
43065757,unknown
115268298,unknown
225366351,unknown
179025844,unknown
13757404,unknown
331557594,unknown
232412791,2
102008801,unknown
288546596,unknown
301526978,2
68448966,unknown
246034935,unknown
94554698,unknown
209055941,unknown
71482450,unknown
30179326,unknown
136132224,unknown
339075076,unknown
94428692,unknown
376284449,2
157857378,unknown
230602655,2
106028022,unknown
299099025,unknown
73438585,unknown
210640906,2
155667456,unknown
249236405,unknown
71989395,1
155802069,unknown
98624058,2
71783665,2
218290536,unknown
310492212,unknown
84320526,unknown
27116228,2
310467001,2
3286495,unknown
221738126,2
232038802,unknown
42998350,unknown
97750209,unknown
164064123,unknown
38812020,unknown
339096338,unknown
367501666,unknown
339085468,unknown
378574637,2
363658281,unknown
13582276,2
105774500,unknown
106390583,unknown
12666291,unknown
288545373,unknown
43461150,unknown
312612404,unknown
72376666,2
209700133,unknown
94111992,unknown
155707765,unknown
56784808,unknown
361479694,unknown
314059359,unknown
9009366,unknown
94700738,unknown
378191497,unknown
378417863,unknown
94198450,unknown
36544650,unknown
234852675,unknown
21270312,unknown
2757640,2
71769844,unknown
390040985,unknown
30395333,unknown
299104529,unknown
105848615,unknown
218015604,2
86804190,unknown
74124598,unknown
99285218,2
91935973,unknown
43470766,unknown
3295786,unknown
155534712,unknown
305276653,unknown
106317215,2
167194345,unknown
134822870,unknown
124285374,unknown
43132622,unknown
339105815,unknown
339475829,2
12678295,2
155583316,unknown
139232051,unknown
200982504,unknown
179028448,2
106028041,unknown
230444454,2
98590537,unknown
294460597,2
54879273,unknown
92061595,unknown
96101960,unknown
29954203,unknown
96681127,unknown
139856363,2
273170934,unknown
181178822,unknown
246177303,unknown
363693014,unknown
163875389,unknown
355157488,unknown
190084314,2
250208796,unknown
301238413,unknown
24596125,2
156050862,unknown
94971587,unknown
390420766,2
121318754,unknown
43135754,unknown
272157655,unknown
298314054,2
230569376,unknown
299388053,unknown
98604985,unknown
85254443,unknown
121850638,unknown
230548690,unknown
229162974,unknown
29056725,unknown
178913186,unknown
85257378,unknown
94386071,unknown
355198569,unknown
248900303,unknown
12694629,2
312365829,unknown
94188277,unknown
230541856,unknown
29638812,unknown
238267276,2
242491970,unknown
313181641,unknown
166070349,1
245651320,unknown
339556745,2
158373296,1
2232003,2
189449417,2
346382340,2
94470904,unknown
71225685,unknown
244659522,unknown
390381306,unknown
54861267,unknown
151688865,2
175047660,2
57663929,2
70362751,unknown
43005810,unknown
224734647,unknown
155272352,unknown
232608734,unknown
355237240,unknown
234700457,unknown
32449555,unknown
27529032,unknown
100690214,unknown
225697224,2
94248920,unknown
298998897,unknown
218470802,unknown
15533009,unknown
224207961,2
236139774,unknown
363142841,unknown
149162144,2
98961098,2
390519246,unknown
12786880,2
164894136,2
114518058,unknown
39291105,unknown
43073086,unknown
12677055,unknown
100791799,2
68104393,unknown
29914159,unknown
302963662,unknown
355126262,unknown
12811298,2
191933432,unknown
310438855,2
385321775,unknown
245179906,2
70441242,unknown
5087500,unknown
390607112,2
234555095,unknown
363664256,unknown
68705160,unknown
68624627,unknown
346094907,unknown
155819918,unknown
87020699,unknown
312545240,unknown
355158275,unknown
179060993,unknown
87603321,unknown
218032389,unknown
187549053,2
341172410,unknown
200866909,2
29052562,unknown
228446106,1
199938558,2
339088442,2
362879766,unknown
164674986,unknown
109035623,unknown
245314933,unknown
250227598,unknown
238196395,unknown
155169532,unknown
200593794,unknown
145926347,unknown
106416695,unknown
42993270,unknown
9079587,2
72345714,2
288498349,unknown
312935457,2
19297364,unknown
155533785,unknown
77166213,unknown
99192371,unknown
218745506,2
106314769,unknown
155591670,unknown
56993916,unknown
396351919,unknown
191004404,unknown
272678110,unknown
339095537,1
12977309,2
363521843,unknown
155601894,unknown
195440491,unknown
71968868,unknown
53372700,unknown
247048232,unknown
156341551,unknown
94343283,unknown
223961548,2
163815908,unknown
299362469,unknown
179060386,unknown
1965485,unknown
73314498,2
363206472,unknown
97294623,unknown
241494607,unknown
68592559,unknown
272308083,unknown
200983476,2
115630376,unknown
12663529,unknown
331556965,2
86817125,unknown
54885883,2
21518961,unknown
43069438,unknown
190945074,unknown
45384482,unknown
294270480,1
272458775,unknown
378456973,unknown
72246251,2
168209108,unknown
224765973,unknown
288354137,unknown
97472031,2
390238902,2
299088845,unknown
3336378,unknown
121486715,unknown
70331761,unknown
73299271,unknown
16252847,unknown
179067890,unknown
20424484,unknown
40636231,2
248917295,unknown
93992172,unknown
372686116,unknown
188773061,unknown
244640882,unknown
390383889,unknown
208997651,unknown
44115273,unknown
246383170,2
68608527,unknown
151637011,unknown
30180253,unknown
164147759,unknown
359543494,unknown
158573464,unknown
10538195,2
355110893,unknown
96972844,unknown
190426175,unknown
69343378,unknown
249239409,2
153339754,unknown
86631282,2
43365146,unknown
121836835,unknown
331564747,unknown
201781890,unknown
163711162,unknown
269219259,unknown
248916087,unknown
29238255,unknown
362949232,unknown
355190679,unknown
146800503,2
8959073,unknown
63067176,unknown
312346254,unknown
144528190,unknown
8862143,unknown
244524852,2
294511496,unknown
311767,unknown
95594231,unknown
195422285,unknown
107221038,unknown
155769431,unknown
42695574,unknown
331498610,2
66107040,unknown
224307294,unknown
36627227,unknown
200470656,2
211088954,1
158574521,2
43348562,2
10952897,unknown
190425437,unknown
299036062,unknown
92551246,unknown
115244903,unknown
199321545,unknown
179274577,unknown
81756691,unknown
244792188,unknown
149161688,2
99245611,unknown
339833825,unknown
225286665,2
155720745,2
105975115,unknown
99913070,unknown
310495041,2
43447861,unknown
10357745,unknown
142510186,unknown
68447219,unknown
10976787,unknown
72615518,unknown
139086657,unknown
291348343,unknown
139296326,unknown
238187904,unknown
173519392,unknown
390144257,unknown
246543920,unknown
12812430,unknown
8513156,unknown
94269447,2
224312745,2
244659844,unknown
331602682,unknown
209724105,2
11904777,unknown
94336442,unknown
230348386,unknown
12959816,unknown
191409900,unknown
298977168,unknown
272416492,2
123481315,2
272156069,2
84315641,unknown
114503876,unknown
355197241,unknown
272508384,unknown
98550982,2
391031787,unknown
244702016,2
39726290,unknown
87759813,unknown
39663342,2
43068117,unknown
196106480,2
175076930,unknown
190823335,unknown
163836068,unknown
156179350,unknown
245171017,2
235490398,unknown
175527262,unknown
299381591,unknown
230411703,unknown
239843052,unknown
105594906,2
372670467,unknown
390334133,2
13364582,unknown
172006459,unknown
55788062,unknown
155676042,2
27575460,2
310423712,unknown
225339359,2
100036997,2
85020715,unknown
276862907,unknown
375263222,unknown
355167092,unknown
339075986,unknown
218741782,unknown
248902445,unknown
191607322,unknown
224674560,2
244285362,unknown
175147957,unknown
97697082,unknown
244301965,unknown
36627203,unknown
211119690,2
279922482,unknown
249234842,unknown
94280151,unknown
84730287,2
94150071,unknown
234717728,unknown
13264658,unknown
312112483,unknown
70891960,2
297156085,unknown
99956004,unknown
13424414,unknown
209065626,unknown
68449576,unknown
234230685,unknown
93999815,unknown
97286854,2
163804238,2
218128050,unknown
310427033,2
355179814,unknown
73246897,2
360810823,unknown
175762083,unknown
106032290,unknown
224215111,unknown
94362295,unknown
313096465,2
230513474,unknown
195496434,unknown
43743058,unknown
196091216,unknown
12781016,2
139238243,unknown
200032640,unknown
230527735,2
87768509,unknown
13620190,unknown
245717497,unknown
112169131,2
339068725,unknown
46473853,unknown
105878979,unknown
94661141,unknown
377782688,unknown
225054480,2
44564655,unknown
105420247,2
67628387,unknown
344587122,unknown
105843873,unknown
84728711,unknown
241500645,unknown
94521585,unknown
99320630,unknown
223933402,2
211154833,unknown
194327898,unknown
299089373,2
94597955,unknown
85257869,unknown
99334485,unknown
140065171,unknown
245719088,unknown
241916602,unknown
106934180,unknown
355107758,unknown
258652600,2
29055221,unknown
13414770,unknown
96382039,unknown
210761870,unknown
232920883,unknown
378237223,unknown
98677313,unknown
68458310,unknown
73298344,unknown
331501156,unknown
105770302,2
226469354,2
22075593,2
97219107,unknown
139276567,unknown
376193018,2
331527831,unknown
315359480,unknown
312452617,unknown
134211942,unknown
210562466,unknown
311016789,2
241539041,unknown
29947042,unknown
346398490,unknown
310473910,2
163810729,unknown
2193235,unknown
181153001,unknown
25440712,unknown
106780076,unknown
378411492,unknown
101222324,unknown
339067998,unknown
210368819,2
8842433,unknown
99211619,unknown
30179594,unknown
224206298,unknown
272481944,unknown
27553557,unknown
107833114,unknown
183480090,unknown
67881432,unknown
121505867,unknown
245469646,unknown
355107786,unknown
100453885,unknown
163670739,unknown
156284724,2
22247789,unknown
9008009,unknown
139195699,unknown
99371671,unknown
13406275,unknown
139277573,unknown
157581361,2
54915900,2
42714491,unknown
245154480,unknown
219546214,unknown
40308016,unknown
283192410,1
94857152,unknown
43018696,2
15868069,2
245209431,unknown
119062810,unknown
331612533,unknown
230448070,2
226550319,unknown
310466185,2
163693766,unknown
28967218,2
105858007,2
92717605,unknown
29851856,2
94131289,unknown
163654653,unknown
63110104,unknown
331536054,2
99919375,unknown
30186392,unknown
218272097,unknown
355999627,unknown
5529367,unknown
390334784,unknown
96275077,unknown
244794760,unknown
390516298,unknown
299339145,2
12677425,2
139232032,unknown
67306781,unknown
382895701,unknown
13236180,unknown
16118337,unknown
30173128,unknown
245429244,unknown
219566735,unknown
99141720,unknown
230647320,2
94377604,unknown
38844909,unknown
189153215,unknown
30856874,unknown
105990302,unknown
155648144,2
299340446,unknown
234648369,unknown
56213570,unknown
98677067,unknown
248894120,unknown
9011251,unknown
253900524,unknown
191127660,2
372547228,unknown
230458652,unknown
346765998,2
355993859,unknown
137959150,1
209842048,2
371281468,2
163734658,unknown
336432210,unknown
43065139,unknown
504131,unknown
219593255,unknown
86573332,unknown
12678104,unknown
224743012,unknown
219843665,unknown
164653115,unknown
272684803,unknown
106028044,unknown
106706403,unknown
94446894,unknown
272270632,2
248916010,2
24406409,unknown
383024659,unknown
71988756,1
355093295,unknown
312830053,2
8439279,unknown
106402448,unknown
279923887,unknown
38818059,unknown
3343659,unknown
68457973,unknown
99315073,unknown
94617370,unknown
95325773,unknown
241503292,2
363051151,2
4604109,2
339555770,unknown
12801216,unknown
310233229,unknown
65964902,unknown
163903202,unknown
42628534,unknown
224670672,2
121503005,unknown
54806584,unknown
121315583,unknown
29921907,unknown
144217240,unknown
115076686,2
29060971,unknown
390559392,unknown
36182159,unknown
95531167,2
67648837,unknown
139248372,unknown
298952385,unknown
12803195,unknown
331573625,unknown
232908760,2
179060384,unknown
109198851,unknown
198621381,unknown
234709741,2
393628549,unknown
99179427,1
99319499,unknown
246038529,unknown
209674268,2
187799860,unknown
163868069,2
94355493,2
306817114,unknown
73187401,2
155538243,unknown
47744860,unknown
208997957,unknown
339495626,unknown
97610815,unknown
310457660,unknown
86473496,unknown
165888475,unknown
185903443,unknown
209491771,unknown
9001411,2
17331020,unknown
56745931,unknown
378358557,unknown
96577287,unknown
793584,unknown
155655473,unknown
12068,unknown
196089676,unknown
355175319,unknown
232464260,2
209512730,2
66420566,unknown
372968397,unknown
363607467,2
382895327,unknown
299327337,1
245243354,unknown
245418630,unknown
224696210,unknown
145550557,unknown
174708653,unknown
54776715,unknown
56785557,unknown
92107945,unknown
69736357,unknown
155672035,unknown
42994644,unknown
42998924,unknown
218034441,unknown
166069722,1
346413968,unknown
390040971,unknown
94521033,unknown
54807096,unknown
155832619,unknown
73278237,unknown
245724919,unknown
242491903,unknown
118858205,unknown
87938019,2
215590377,unknown
12813590,unknown
42758167,2
127319505,unknown
73421688,2
200457263,unknown
139274008,1
86708151,unknown
275034184,unknown
114722270,unknown
155754607,unknown
69779509,unknown
218297453,unknown
299197493,unknown
191558018,unknown
94199670,unknown
130369271,2
354284259,unknown
382990185,unknown
363023123,unknown
99334493,unknown
43077928,2
99913532,unknown
186236367,unknown
40564508,unknown
3379696,unknown
231996109,2
105587561,2
108281388,2
25533109,unknown
163822047,1
362951611,unknown
13599617,2
16940751,unknown
152882460,unknown
209567984,unknown
51551341,unknown
245439822,unknown
30938661,2
9643427,unknown
121476168,unknown
94006891,unknown
71155941,2
363663205,1
121480973,unknown
121540200,unknown
232073389,unknown
54928146,unknown
106388534,unknown
73265737,2
43006693,unknown
36081318,unknown
1286673,unknown
155738598,2
199307750,unknown
28443663,unknown
91903266,2
269080684,unknown
163654809,unknown
17219895,unknown
68445780,unknown
163649913,1
130504640,unknown
209682122,unknown
218069945,unknown
216585335,unknown
238199999,unknown
378670915,unknown
50278767,unknown
313361426,unknown
29232119,2
224669501,2
175494087,unknown
42625962,2
94855269,unknown
94332516,2
94025879,unknown
157252863,2
279992605,unknown
97009615,unknown
42650255,unknown
4621535,unknown
298955273,unknown
234172930,unknown
209487354,2
106413610,unknown
100676906,unknown
200976642,2
218290652,unknown
42264430,unknown
355163747,unknown
372670659,unknown
155655673,2
149161620,unknown
164679916,unknown
248916318,unknown
382909859,unknown
179131812,unknown
94105926,2
70438945,unknown
131738945,unknown
9006054,unknown
339644708,unknown
71989984,1
69302183,unknown
245344776,unknown
378191518,unknown
218267767,unknown
187297790,unknown
92578835,unknown
163631040,unknown
148812777,unknown
23450745,2
268967198,unknown
28083214,unknown
87035132,unknown
224241436,unknown
163654905,unknown
96395780,unknown
218275319,unknown
218289057,unknown
331566225,2
245157062,unknown
163586069,1
331605374,unknown
342076333,unknown
218139572,unknown
68450616,2
