SOURCE,TARGET
230460314,230459870
230333930,230595899
36411953,230405052
233591710,234439913
230519287,194810163
5529367,232467632
231181128,232453404
230348238,2881273
3409584,43560505
54492406,4855592
230541525,2880930
230411721,35574259
60519306,230097992
230540205,232608734
14550424,232353291
230401350,230401687
75600754,75597795
232035051,232036661
5662056,230522934
230445151,2880930
230530309,2881273
230531174,230531529
230464746,230464556
232010758,4988292
230452736,45936391
234442906,13341989
10818605,230465660
230543312,87823631
230457906,230649780
75600731,75597414
230458430,230458280
75601025,230455579
89273,34923889
232047414,232047419
230348386,232582209
93274562,230401350
231994045,230645817
230459688,232803366
232947878,232947876
2544322,105601443
45936391,232376719
3881866,232458909
232022790,230412856
89273,230412050
232432878,2880930
192827077,3197858
232380234,99506339
232022782,232022790
75600741,35516310
230415013,230415011
230712278,232454063
75597403,230456319
2855928,151078127
230095966,3329673
232900716,232431879
230345455,230393099
75604031,75600731
227325124,86228549
232895760,232895765
230518409,232897724
232948747,28023242
232008924,37231945
33137867,2880930
230459100,13805516
230401717,230401720
230411242,2880930
232022790,230575895
234441421,233307261
230518318,230522135
27456320,230658142
63437052,232447736
230459331,230459327
230431949,230569376
232026322,230411721
230569375,230513474
230460314,230460307
232448385,232472201
232051527,37231293
230540579,39617086
232035283,232035280
3329673,76865977
230518409,228711624
88669585,230413259
54732017,230528723
230526123,102054111
230437638,232908760
231994074,144657595
145388391,231994093
232067008,2880930
36674352,27553557
230569376,2815738
230531168,232386556
232010919,198356667
13366684,232659744
230433276,232047924
231994045,232034651
87823667,230548690
71384277,232378919
231993295,230444454
230551388,2880930
230647313,232443618
230333930,232015639
61429103,230451730
33313713,232431855
40612971,3381877
230596311,232689970
230659124,230658142
232432872,2880930
80044119,87823192
117305967,232341448
230513474,230513473
232956030,230683551
232432879,2880930
75607471,230530309
230518022,230518019
232351007,34984461
232003681,231995698
230439284,118545988
230468696,232409500
230414055,212687404
230433276,230433274
233750195,233752979
230456710,2880930
231176232,231177078
3878618,3878633
86228549,230458652
231180588,232951115
232464260,54732833
232018624,232029206
232662122,80024606
232010919,232028203
232903073,217078622
232956438,232431889
230452774,3232943
230461032,232440027
230530306,232065266
31207265,75600741
230439999,13336892
230472380,230472381
5030016,232037104
232018624,55349030
232673937,232673945
75600747,32673213
230423848,232438397
232023201,232023205
231178807,230679233
230519614,230539729
230409259,232907282
4988292,10973681
230471881,230471916
7991441,231176668
32477875,230594664
4947985,4947987
230592577,195237910
232012115,232377109
230585461,17790701
230439026,37233994
230336858,27405707
232067014,75600756
231180498,54732027
230546655,63437052
99464541,230522135
230333956,230423012
232418382,2758467
230642360,2544322
230586846,91787015
89181055,99506343
231994160,231994165
12949915,232363570
230542768,230543161
51974944,3882798
230412050,42094373
3197858,2758467
232648116,54492383
232034293,232034651
3435817,3403731
14407957,231136221
75603998,232065277
75604980,13238769
230336145,95985627
207798045,73191409
89273,17790701
232446393,232446272
230592577,204236566
232465409,54735206
230457907,230457906
232659398,13366684
232348119,13805516
13336892,5530920
36716791,192827077
194837559,230473482
232671793,232672129
230336145,232346245
230643075,2760789
226715158,232023529
231179638,3913231
232443618,232443617
2476099,60428331
81270780,81270783
232432891,2880930
230618787,52393430
234439913,234441421
230444454,230444448
232447742,12456270
21506236,187182569
230437686,232431866
232407734,12456270
89273,230557030
230618746,230625240
230528723,230528710
231177078,2758467
22000731,230417094
230459308,231128114
230392794,232920883
230990797,232376720
230336235,232018624
230569374,91416769
10818605,232342103
232895198,94251207
55017801,2880930
230659430,230658142
3272536,230460314
231181878,2713066
3907811,230456354
34101169,230457029
195237909,230527735
230468697,75598034
232661983,232662122
230511899,23256400
232778357,7089467
232712396,94838227
230333956,232648116
230392230,230537132
230968861,231179638
230458980,230458975
232907282,28773784
230537122,230537117
89273,5662056
230548642,2880930
234470338,232431854
71384277,230471951
230448370,3878618
230529025,4855592
230405627,232910950
33499224,232100126
230460314,230459688
10818605,232029206
231487035,232441214
192823764,206142478
230458099,230649780
230455108,232919400
232899754,232418382
230419183,232920883
230412050,88164292
87603321,232903605
231995762,230473483
230436773,2880930
230424548,87603321
230652833,230653303
31730208,40577596
13327496,231994184
88669593,59854984
230339682,207801396
230458652,232907894
232680471,230659124
51140227,71369866
232034934,230438474
232009703,232009704
71369866,3239815
230472266,230472372
76865975,76866764
232112188,36411953
230438486,232908760
71373717,22179034
76866755,230543266
230406513,230406512
230645823,230647320
232353291,232451413
36712175,38864508
232034651,232469426
75597794,75597872
230459327,230459333
230429959,92180124
75597872,230411713
230444461,232895198
232432895,2880930
230459327,89682133
89941897,2893861
230651378,58295645
7550622,230423321
232468003,182448481
230424242,230428184
231807338,4987474
230575202,230571453
232608734,233997266
232672940,232348828
232432875,2880930
76864777,76866551
232418772,230670894
10976787,14304931
230590935,230464746
232001654,230473478
75600726,75597403
230437613,230649815
232038802,232055535
219844314,3907811
44290217,2710288
231996109,230473483
37232641,37232677
3239815,231177887
230473478,230473461
230423848,232897299
232073378,75604009
232034934,230461032
